"行政區域","綜合所得中位數","平均教育程度","有偶比例","女男比","扶老比","每戶平均用電度數","cluster"
"萬華區騰雲里",-0.940520759219663,-0.789643186564168,-0.733222732445781,-0.658426009280862,0.13162208979686,-0.988030099650481,"2"
"萬華區萬壽里",-0.759509992677855,-0.988732666575265,-0.5909603158061,-0.118147432068389,0.60748443683182,-0.111220771012819,"2"
"萬華區西門里",-0.775250059333665,-0.532683879391492,-0.891873138563297,1.16771558169731,0.489718470846341,0.298074529276793,"7"
"萬華區孝德里",-1.22384195902423,-1.61579974895295,-1.18125690446966,-0.969086191178038,-0.103992003821662,-0.19711544744752,"2"
"萬華區新安里",-1.49142309217299,-1.62011839277098,-1.64373598149222,-0.800249135799139,0.380735015542003,-1.27500726422136,"2"
"萬華區新和里",-0.586369259463952,-0.381099481378704,-1.14124090734272,-0.0681716636762342,0.510121660688927,-1.1074446498158,"2"
"萬華區新起里",-0.688679692726713,-0.287384910527493,-0.459617005807419,0.54909661078902,0.470252643265512,0.983100194398722,"4"
"萬華區新忠里",-1.20810189236842,-0.514545575355774,-0.919545360834723,-0.33560955939641,3.0788849838612,-1.30948274838728,"9"
"萬華區興德里",-1.08218135912195,-1.67237398296912,-1.2942585339669,-0.878589529494949,-0.151017045444231,0.150506225517562,"2"
"萬華區忠德里",-1.20810189236842,-1.45039569072248,-1.29418067491512,-1.26488871220187,0.519415895310865,-0.619679031088834,"2"
"萬華區忠貞里",-1.24745205900795,-1.5467014478645,-1.66374684324182,-0.855627689963418,2.93670875478315,-1.56624792150359,"9"
"文山區博嘉里",0.114063706719566,0.0239893087523359,-0.155355326164023,-0.463925721484371,-0.486804580583551,-0.487326985799422,"8"
"文山區華興里",0.735796339624037,0.348319459486251,0.490902200062194,-0.205942700865415,-0.373879490617861,-0.499125099250658,"5"
"文山區景東里",0.609875806377562,0.228261161345068,0.52217831195345,0.555850093004176,-1.01471262404266,-1.08675200846674,"5"
"文山區景華里",0.0589734734242331,0.31592963085104,0.449304465781965,0.908381864635316,-0.0175065505158728,-0.421683899743634,"5"
"文山區景美里",0.38951487319623,0.565547243533067,0.937553326466187,0.295165679499158,0.337847513452981,-1.22454368238788,"5"
"文山區景慶里",-0.192867593068717,-0.140551020714536,0.0404743182244495,0.0925612130444776,-0.0946255063602373,-1.52695763091364,"8"
"文山區景仁里",0.318684573245088,0.487379790426757,0.807910857664739,0.242488518220941,-0.389536374440342,-0.695576552200369,"5"
"文山區景行里",0.121933740047471,-0.168190341149916,1.01114739947592,0.592318896966017,-0.850460884326482,-0.372911013295689,"5"
"文山區老泉里",-1.3418924589428,-2.36724377328985,0.319786120848004,-1.90376812975562,-0.24692268777391,-1.27405165378606,"3"
"文山區明興里",0.287204439933469,0.0265804950431535,0.0276228455017728,-0.274828219460005,-1.10134954432957,-1.09972625783835,"8"
"文山區明義里",-1.19236182571261,-1.42534755657791,-1.88136668228035,-0.503095918332277,-0.666764395546824,-0.645112970366888,"2"
"文山區木柵里",0.609875806377562,0.465354706954814,0.587016914028725,0.154693249423911,0.369174116053985,-0.43392306416501,"5"
